"","sample44","sample45","sample46","sample47","sample48","sample49","sample50","sample51","sample52","sample53","sample54","sample55","sample56","sample57","sample58","sample59","sample60","sample61","sample62","sample63","sample64","sample65","sample66","sample67","sample68","sample69","sample70","sample71","sample72","sample73","sample74","sample75","sample76","sample77","sample78","sample79","sample80","sample81","sample82","sample83","sample84","sample85","sample86"
"AC004241.3",1,1,1.5,2,1,2,1.5,2,2,1,1,1.5,1,1,1.5,1,1.5,1.5,1,1,1,1,1.5,1.5,1,1,1,1,1.5,1,1,2,1.5,2,1,1,1,1,2,1.5,1,1,1
"AC004241.5",1,1,1.5,2,1,2,1.5,2,2,1,1,1.5,1,1,1.5,1,1.5,1.5,1,1,1,1,1.5,1.5,1,1,1,1,1.5,1,1,2,1.5,2,1,1,1,1,2,1.5,1,1,1
"AC004263.2",1,1.5,1.5,2,1,2,1.5,1.5,2,1,1,1.5,1,1,1,1,1,1.5,1,1,1,1,1.5,1.5,1,1,1,1,2,1,1,2,1.5,2,1,1,1,0.5,1,2,1,1,1
"AC004453.1",1,1.5,1.5,2,1,2,1.5,2,1.5,1,1,2.5,1,1.5,2,1,1,2,1,1,1,1,1.5,2.5,1,1,0.5,1,2,1,1,3,2,2.5,1,1,1,1,2,2,1,1.5,1
"AC004477.2",1,1,2,1.5,1,2,1.5,2,1.5,1,1,2,1,1,2,1,1,1.5,1,1,1,1,1.5,1.5,1,1,1,1,2,1,1,2,2,1.5,1,1,2,1,1,2,1,1,1
"AC004492.1",1,1,2.5,2,1,2,1.5,2,1.5,1,1,2.5,1,1.5,2,1,0.5,2,1,1,1,1,1.5,1.5,1,0.5,1,1,2.5,1,1,2,2,1.5,1,1,1,1,1,3.5,2,1.5,1
"AC004540.1",1,2,1.5,2,1,2,2,2,1.5,1,1,2.5,1,1.5,2.5,1,1,2,1,1,1,1,1.5,2.5,1,1,0.5,1,2,1,1,3,2,2.5,1,1,1,1,2,2,3,1.5,1
"AC004585.1",1,1,2,1.5,1,2,1.5,2,1.5,1,1,2,1,1,2,1,1,1.5,1,1,1,1,2,1.5,1,1,1,1,2,1,1,2,2,1.5,0.5,1,1.5,1,1,2,1,1,1
"AC004596.1",1,1,2,1.5,1,2,1.5,2,1.5,1,1,2,1,1,2,1,1,1.5,1,1,1,1,1.5,1.5,1,1,1,1,2,1,1,2,2,1.5,0.5,1,2,1,1,2,1,1,1
"AC004687.1",1,1,2,1.5,1,2,1.5,2,1.5,1,1,2,1,1,2,1,1,1.5,1,1,1,1,1,1.5,1,1,1,1,2,1,1,2,2,1.5,0.5,1,1.5,1,1,2,1,1,1
"AC004706.1",0.5,1,1.5,1,1,2,2,2,1.5,1,1,1,1,1,2,1,1,1.5,1,1,1,1,1.5,1.5,1,0.5,1,1,2,1,1,1,2,1,0.5,1,1,1,1.5,2,1,1,1
"AC004706.3",0.5,1,1.5,1,1,2,2,2,1.5,1,1,1,1,1,2,1,1,1.5,1,1,1,1,1.5,1.5,1,0.5,1,1,2,1,1,1,2,1,0.5,1,1,1,1.5,2,1,1,1
"AC004801.6",1,1,1.5,2,1,2,1.5,2,2,1,1,1.5,1,1,1.5,1,1.5,1.5,1,1,1,1,1.5,1.5,1,1,1,1,1.5,1,1,2,1.5,2,1,1,1,1,2,1.5,1,1,1
"AC004803.1",2,2.5,2.5,2,1,2,3.5,2,2,1,1,1.5,1,0.5,1.5,1,1,1,1.5,1,1,1,1.5,1.5,1,1,1,1,2,1,1,2,2,2,0.5,2,1,1,2,2.5,1.5,2,1
"AC004812.2",1,1.5,1.5,2,1,2,1.5,1.5,2,1,1,1.5,1,1,1,1,1,1.5,1,1,1,1,1.5,1.5,1,1,1,1,2,1,1,2,1.5,2,1,1,1,0.5,1,2,1,1,1
"AC004816.1",0.5,1,1.5,2,1.5,2,1.5,2,1.5,1,1,1.5,1,1,2.5,1,1,1.5,1.5,1,1,1,2,2,1,1,1,2,1,1,0.5,1.5,2,2,1,1,1,0.5,1.5,1.5,2,1,1
"AC004825.2",0.5,1,1.5,2,1.5,2,1.5,2,1.5,1,1,1.5,1,1,2.5,1,1,1.5,1.5,1,1,1,2,2,1,1,1,2,1,1,0.5,1.5,2,2,1,1,1,0.5,1.5,1.5,2,1,1
"AC004832.1",1,1.5,2,2,0.5,2,1.5,1.5,1.5,1,1,2,1,1,1.5,1,1,1.5,1,1,1,1,1,1.5,1,1,1,1,1,1,1,2.5,2,1.5,1,1,1,1,1,2,1.5,1,1
"AC004839.1",1,1,2.5,2,1,2,1.5,2,1.5,1,1,2.5,1,1.5,2,1,0.5,2,1,1,1,1,1.5,1.5,1,0.5,1,1,2.5,1,1,2,2,1.5,1,1,1,1,1,3.5,2,1.5,1
"AC004846.1",0.5,1,1.5,2,1.5,2,1.5,2,1.5,1,1,1.5,1,1,2.5,1,1,1.5,1.5,1,1,1,2,2,1,1,1,2,1,1,0.5,1.5,2,2,1,1,1,0.5,1.5,1.5,2,1,1
"AC004847.1",1,1.5,1.5,2,1,2,1.5,2,1.5,1,1,2.5,1,1.5,2,1,1,2,1,1,1,1,1.5,2.5,1,1,0.5,1,2,1,1,3,2,2.5,1,1,1,1,2,2,1,1.5,1
"AC004854.2",1,1.5,1.5,2,1,2,1.5,2,1.5,1,1,2.5,1,1.5,2,1,1,2,1,1,1,1,1.5,2.5,1,1,0.5,1,2,1,1,3,2,2.5,1,1,1,1,2,2,1,1.5,1
"AC004890.1",1,1.5,2.5,2,1,2,1,2,1.5,1,1,1.5,1,1,2,1,0.5,2,1,1,1,1,1.5,1.5,1,0.5,1,1,2,1,1,2,1,1.5,1.5,1,1.5,0.5,1,1,2,1.5,1
"AC004890.2",1,1.5,2.5,2,1,2,1,2,1.5,1,1,1.5,1,1,2,1,0.5,2,1,1,1,1,1.5,1.5,1,0.5,1,1,2,1,1,2,1,1.5,1.5,1,1.5,0.5,1,1,2,1.5,1
"AC004918.3",1,1.5,3,2,1,2,1,2,1.5,1,1,2.5,1,1,2,1,0.5,2,1,1,1,1,1.5,1.5,1,0.5,1,1,2,1,1,2,1,1.5,1,1,1.5,0.5,1,1,2,1.5,1
"AC004938.2",1,1.5,1.5,2,1,2,1.5,2,1.5,1,1,2.5,1,1.5,2,1,1,2,1,1,1,1,1.5,2.5,1,1,0.5,1,2,1,1,3,2,2.5,1,1,1,1,2,2,1,1.5,1
"AC004943.2",1.5,1,1,2,1,2,1.5,1.5,1.5,1,1,1,1,1,1.5,1,1,1,1,1,1,1,1.5,1.5,1,1,1,1,1,1,1,3,2,1.5,1,1,1,1,2,2,1.5,2,1
"AC004947.1",1,2,1.5,2,1,2,2,2,1.5,1,1,2.5,1,1.5,2.5,1,1,2,1,1,1,1,1.5,2.5,1,1,0.5,1,2,1,1,3,2,2.5,1,1,1,1,2,2,3,1.5,1
"AC004951.4",1,1.5,1.5,2,1,2,1.5,2,1.5,1,1,2.5,1,1.5,2,1,1,2,1,1,1,1,1.5,2.5,1,1,0.5,1,2,1,1,3,2,2.5,1,1,1,1,2,2,1,1.5,1
"AC004975.2",1,1.5,2.5,2,1,2,1,2,1.5,1,1,1.5,1,1,2,1,0.5,2,1,1,1,1,1.5,1.5,1,0.5,1,1,2,1,1,2,1,2,1.5,1,1.5,0.5,1,1,2,1.5,1
"AC004982.1",1,2,1.5,2,1,2,2,2,1.5,1,1,2.5,1,1.5,2.5,1,1,2,1,1,1,1,1.5,2.5,1,1.5,0.5,1,2,1,1,3,2,2.5,1,1,1,1.5,2,2,3.5,1.5,1
"AC004982.2",1,2,1.5,2,1,2,2,2,1.5,1,1,2.5,1,1.5,2.5,1,1,2,1,1,1,1,1.5,2.5,1,1.5,0.5,1,2,1,1,3,2,2.5,1,1,1,1.5,2,2,3.5,1.5,1
"AC005034.5",1,1.5,2,1.5,1,2,2,1,1.5,1.5,1,2.5,1,1,1.5,1,1,2,1,1,1,1,1,1.5,1,1,1,1,2,1,1,2,3,1.5,1,1,1.5,1,2,2.5,1.5,1,1
"AC005041.1",1,1.5,2,1.5,1,2,2,1,1.5,1.5,1,2.5,1,1,1.5,1,1,2,1,1,1,1,1,1.5,1,1,1,1,2,1,1,2,3,1.5,1,1,1.5,1,2,2.5,1.5,1,1
"AC005062.1",1,2,1.5,2,1,2,2,2,1.5,1,1,2.5,1,1.5,2.5,1,1,2,1,1,1,1,1.5,2.5,1,1,0.5,1,2,1,1,3,2,2.5,1,1,1,1.5,2,2,3,1.5,1
"AC005076.1",1,1,2.5,2,1,2,3,2,1.5,1,1,2.5,1,1.5,2,1,3.5,2,1,1,1,1,1.5,1.5,1,1,1,1,2.5,1,1,2,2,2.5,1,1,1,1,1,3.5,3.5,1.5,1
"AC005077.4",1,1,2.5,2,1,1,1,2,1.5,1,1,2.5,1,1.5,2,1,1.5,2,1,1,1,1,1.5,1.5,1,1,1,1,2.5,1,1,3,2,2.5,1,1,1,1,1,2,3.5,1.5,1
"AC005082.1",1,2,1.5,2,1,2,2,2,1.5,1,1,2.5,1,1.5,2.5,1,1,2,1,1,1,1,1.5,2.5,1,1,0.5,1,2,1,1,3,2,2.5,1,1,1,1.5,2,2,3,1.5,1
"AC005083.1",1,2,1.5,2,1,2,2,2,1.5,1,1,2.5,1,1.5,2.5,1,1,2,1,1,1,1,1.5,2.5,1,1,0.5,1,2,1,1,3,2,2.5,1,1,1,1.5,2,2,3,1.5,1
"AC005099.1",1,1,2.5,2,1,2,1.5,2,1.5,1,1,2.5,1,1.5,2,1,0.5,2,1,1,1,1,1.5,1.5,1,0.5,1,1,2.5,1,1,2,2,1.5,1,1,1,1,1,3.5,2,1.5,1
"AC005100.1",1,2,1.5,2,1,2,2,2,1.5,1,1,2.5,1,1.5,2.5,1,1,2,1,1,1,1,1.5,2.5,1,1,0.5,1,2,1,1,3,2,2.5,1,1,1,1,2,2,3,1.5,1
"AC005153.1",1,1.5,1.5,2,1,2,1.5,2,1.5,1,1,2.5,1,1.5,2,1,1,2,1,1,1,1,1.5,2.5,1,1,0.5,1,2,1,1,3,2,2.5,1,1,1,1,2,2,1,1.5,1
"AC005162.1",1,2,1.5,2,1,2,2,2,1.5,1,1,2.5,1,1.5,2.5,1,1,2,1,1,1,1,1.5,2.5,1,1,0.5,1,2,1,1,3,2,2.5,1,1,1,1,2,2,3,1.5,1
"AC005162.2",1,2,1.5,2,1,2,2,2,1.5,1,1,2.5,1,1.5,2.5,1,1,2,1,1,1,1,1.5,2.5,1,1,0.5,1,2,1,1,3,2,2.5,1,1,1,1,2,2,3,1.5,1
"AC005165.1",1,2,1.5,2,1,2,2,2,1.5,1,1,2.5,1,1.5,2.5,1,1,2,1,1,1,1,1.5,2.5,1,1,0.5,1,2,1,1,3,2,2.5,1,1,1,1,2,2,3,1.5,1
"AC005229.4",1,1.5,2.5,2,1,2,1,2,1.5,1,1,1.5,1,1,2,1,0.5,2,1,1,1,1,1.5,1.5,1,0.5,1,1,2,1,1,2,1,1.5,1.5,1,1.5,0.5,1,1,2,1.5,1
"AC005261.1",1.5,1.5,1,1.5,0.5,1.5,2.5,2,1.5,1,1,1.5,1,1,2,1,0.5,1,1,1,1,1,1,1.5,1,1,1,1,1,1,1,2,2,1.5,1,1,1,1,1.5,1,1,1,1
"AC005332.3",1,1.5,2,1.5,1,2,1.5,2,1.5,1,1,2,1,1,2,1,1,1.5,2,1,1,1,1,1.5,1,1,1,1,2,1,1,2,2,1.5,1,1,1.5,1,1,2,1,1,1
"AC005332.5",1,1.5,2,1.5,1,2,1.5,2,1.5,1,1,2,1,1,2,1,1,1.5,2,1,1,1,1,1.5,1,1,1,1,2,1,1,2,2,1.5,1,1,1.5,1,1,2,1,1,1
"AC005332.6",1,1.5,2,1.5,1,2,1.5,2,1.5,1,1,2,1,1,2,1,1,1.5,2,1,1,1,1,1.5,1,1,1,1,2,1,1,2,2,1.5,1,1,1.5,1,1,2,1,1,1
"AC005336.1",1,1,2,2,0.5,1.5,2,2,1.5,1,1,1.5,1,1,2,1,1,1.5,1,1,1,1,1,1.5,1,1,1,1,1.5,1,1,2,2,1,1,1,1,1,1.5,3.5,1.5,1,1
"AC005392.2",1.5,1.5,1,1.5,0.5,1.5,2.5,2,1.5,1,1,1.5,1,1,2,1,0.5,1,1,1,1,1,1,1.5,1,1,1,1,1.5,1,1,2,2,1.5,1,1,1,1,1.5,1,1,1,1
"AC005393.1",1.5,1.5,1,3,0.5,1.5,2,2,1.5,1,1,1.5,1,1,2,1,0.5,2,1,1,1,1,1,1.5,1,1,1,1,1.5,1,1,2,2,1.5,1,1,1,1,1.5,1,1,1,1
"AC005476.2",0.5,1,1.5,2,1.5,2,1.5,2,1.5,1,1,1.5,1,1,2.5,1,1,1.5,1.5,1,1,1,2,2,1,1,1,2,1,1,0.5,1.5,2,2,1,1,1,0.5,1.5,1.5,2,1,1
"AC005498.3",1.5,1.5,1,1.5,0.5,1.5,2.5,2,1.5,1,1,1.5,1,1,2,1,0.5,1,1,1,1,1,1,1.5,1,1,1,1,1,1,1,2,2,1.5,1,1,1,1,1.5,1,1,1,1
"AC005520.2",0.5,1,1.5,2,1.5,2,1.5,2,1.5,1,1,1.5,1,1,2.5,1,1,1.5,1.5,1,1,1,2,2,1,1,1,2,1,1,0.5,1.5,2,2,1,1,1,0.5,1.5,1.5,2,1,1
"AC005532.1",1,2,1.5,2,1,2,2,2,1.5,1,1,2.5,1,1.5,2.5,1,1,2,1,1,1,1,1.5,2.5,1,1.5,0.5,1,2,1,1,3,2,2.5,1,1,1,1.5,2,2,3.5,1.5,1
"AC005618.1",1,1,1,1,1,1,1.5,2,1,1,1,1,1,1,1,1,0.5,1,1,1,1,0.5,1,1.5,1,1,0.5,1,1,1,1,2,1,1.5,1,0.5,1,1,1,1,1,0.5,1
"AC005670.3",1,1,2,1.5,1,2,1.5,2,1.5,1,1,2,1,1,2,1,1,1.5,1.5,1,1,1,1.5,1.5,1,1,1,1,2,1,1,2,2,1.5,1,1,2,1,1,2,1,1,1
"AC005674.1",0.5,1,1,1,0.5,1.5,1,1.5,1.5,1,1,1.5,1,0.5,1,1,1,1,1,1,1,1,1.5,3,0.5,0.5,0.5,0.5,1,1,0.5,1.5,1,1.5,1,1,1,0.5,1,1,1,1,1
"AC005682.1",1,2,1.5,2,1,2,2,2,1.5,1,1,2.5,1,1.5,2.5,1,1,2,1,1,1,1,1.5,2.5,1,1,0.5,1,2,1,1,3,2,2.5,1,1,1,1.5,2,2,3,1.5,1
"AC005695.1",0.5,1,1.5,1,1,2,2,2,1.5,1,1,1,1,1,1,1,1,1.5,1,1,1,1,1.5,1.5,1,0.5,1,1,2,1,1,1,2,1,0.5,1,1,1,1.5,2,1,1,1
"AC005696.1",0.5,1,1.5,1,1,2,2,2,1.5,1,1,1,1,1,2,1,1,1.5,1,1,1,1,1.5,1.5,1,0.5,1,1,2,1,1,1,2,1,0.5,1,1,1,1.5,2,1,1,1
"AC005696.4",0.5,1,1.5,1,1,2,2,2,1.5,1,1,1,1,1,2,1,1,1.5,1,1,1,1,1.5,1.5,1,0.5,1,1,2,1,1,1,2,1,0.5,1,1,1,1.5,2,1,1,1
"AC005699.1",0.5,1,1,1,0.5,1.5,1,1.5,1.5,1,1,1.5,1,0.5,1,1,1,1,1,1,1,1,1.5,3,0.5,0.5,0.5,0.5,1,1,0.5,1.5,1,1.5,1,1,1,0.5,1,1,1,1,1
"AC005722.3",0.5,1,1.5,1,1,2,1.5,2,1.5,1,1,1,1,1,2,1,1,1.5,1,1,1,1,1.5,1.5,1,0.5,1,1,2,1,1,1,2,1.5,0.5,1,1,1,1.5,2,1,1,1
"AC005722.4",0.5,1,1.5,1,1,2,1.5,2,1.5,1,1,1,1,1,2,1,1,1.5,1,1,1,1,1.5,1.5,1,0.5,1,1,2,1,1,1,2,1.5,0.5,1,1,1,1.5,2,1,1,1
"AC005725.1",0.5,1,1.5,1,1,2,2,2,1.5,1,1,1,1,1,1,1,1,1.5,1,1,1,1,1.5,1.5,1,0.5,1,1,2,1,1,1,2,1,0.5,1,1,1,1.5,2,1,1,1
"AC005831.1",2,2.5,2.5,2,1,2,3.5,2,2,1,1,1.5,1,0.5,1.5,1,1,1,1.5,1,1,1,1.5,1.5,1,1,1,1,2,1,1,2,2,2,0.5,2,1,1,2,2.5,1.5,2,1
"AC005839.1",1,1,2,1.5,1,2,1.5,2,1.5,1,1,2,1,1,2,1,1,1.5,1,1,1,1,1,1.5,1,1,1,1,2,1,1,2,2,1.5,1,1,2,1,1.5,2,1,1,1
"AC005840.2",2,2.5,2.5,2,1,2,3.5,2,2,1,1,1.5,1,0.5,1.5,1,1,1,1.5,1,1,1,1.5,1.5,1,1,1,1,2,1,1,2,2,2,0.5,2,1,1,2,2.5,1.5,2,1
"AC005840.4",2,2.5,2.5,2,1,2,3.5,2,2,1,1,1.5,1,0.5,1.5,1,1,1,1.5,1,1,1,1.5,1.5,1,1,1,1,2,1,1,2,2,2,0.5,2,1,1,2,2.5,1.5,2,1
"AC005865.1",2,2.5,2.5,2,1,2,3.5,2,2,1,1,1.5,1,0.5,1.5,1,1,1,1.5,1,1,1,1.5,1.5,1,1,1,1,2,1,1,2,2,2,0.5,2,1,1,2,2.5,1.5,2,1
"AC005911.1",2,2.5,2.5,2,1,2,3.5,2,2,1,1,1.5,1,0.5,1.5,1,1,1,1.5,1,1,1,1.5,1.5,1,1,1,1,2,1,1,2,2,2,0.5,2,1,1,2,2.5,1.5,2,1
"AC005912.1",2,2.5,2.5,2,1,2,3.5,2,2,1,1,1.5,1,0.5,1.5,1,1,1,1.5,1,1,1,1.5,1.5,1,1,1,1,2,1,1,2,2,2,0.5,2,1,1,2,2.5,1.5,2,1
"AC006001.2",1,2,2.5,2,1,1,2.5,2,1.5,1,1,2.5,1,1.5,2,1,1,2,1,1,1,1,1.5,1.5,1,1,1,1,2,1,1,3,2,2.5,1,1,1,1,3.5,2,3.5,1.5,1
"AC006001.3",1,2,2.5,2,1,1,2.5,2,1.5,1,1,2.5,1,1.5,2,1,1,2,1,1,1,1,1.5,1.5,1,1,1,1,2,1,1,3,2,2.5,1,1,1,1,3,2,3.5,1.5,1
"AC006008.1",1,1.5,2.5,2,1,2,1,2,1.5,1,1,1.5,1,1,2,1,0.5,2,1,1,1,1,1.5,1.5,1,0.5,1,1,2,1,1,2,1,1.5,1.5,1,1.5,0.5,1,1,2,1.5,1
"AC006059.1",1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,0.5,0.5,1,0.5,1,1,0.5,1,1,1,0.5,0.5,0.5,1,1,0.5,1,1,1.5,0.5,0.5,1,0.5,1,1,0.5,0.5,1
"AC006077.2",1,1,1,1,1,1,1.5,2,1,1,1,1,1,1,1,1,0.5,1,1,1,1,0.5,1,1.5,1,1,0.5,1,1,1,1,2,1,1.5,1,0.5,1,1,1,2,1,0.5,1
"AC006206.2",2,2.5,2.5,2,1,2,3.5,2,2,1,1,1.5,1,0.5,1.5,1,1,1,1.5,1,1,1,1.5,1.5,1,1,1,1,2,1,1,2,2,2,0.5,2,1,1,2,2.5,1.5,2,1
"AC006230.1",0.5,1,1,1,0.5,1.5,1,1.5,1.5,1,1,1.5,1,0.5,1,1,1,1,1,1,1,1,1.5,3,0.5,0.5,0.5,0.5,1,1,0.5,1.5,1,1.5,1,1,1,0.5,1,1,1,1,1
"AC006254.1",1,1,1,1,0.5,1,1,1,1,1,1,1,1,0.5,1,0.5,0.5,1,0.5,1,1,0.5,1,1,1,0.5,0.5,0.5,1,1,0.5,1,1,1,0.5,0.5,1,0.5,1,1,0.5,0.5,1
"AC006262.1",1.5,1.5,1,1.5,0.5,1.5,2.5,2,1.5,1,1,1.5,1,1,2,1,0.5,1,1,1,1,1,1,1.5,1,1,1,1,1.5,1,1,2,2,1.5,1,1,1,1,1.5,1,1,1,1
"AC006435.2",0.5,1,1.5,1,1,2,2,2,1.5,1,1,1,1,1,2,1,1,1.5,1,1,1,1,1.5,1.5,1,0.5,1,1,2,1,1,1,2,1,0.5,1,1,1,1.5,2,1,1,1
"AC006449.5",1,1,1.5,1.5,1,2,1.5,2,1.5,1,1,2,1,1,2,1,1,1.5,1,1,1,1,1.5,1.5,1,1,1,1,2,1,1,2,2,1.5,0.5,1,1.5,1,1,2,1,1,1
"AC006449.6",1,1,1.5,1.5,1,2,1.5,2,1.5,1,1,2,1,1,2,1,1,1.5,1,1,1,1,1.5,1.5,1,1,1,1,2,1,1,2,2,1.5,0.5,1,1.5,1,1,2,1,1,1
"AC006460.1",0.5,1.5,2,1.5,1,2,1,2,1.5,1.5,1,2,1,1,1.5,1,1,3.5,1,1,1,1,1,1.5,1,1,1,1,1,1.5,1,2.5,1,1.5,1,1.5,1.5,1.5,3,2,1,1,1
"AC006460.2",0.5,1.5,2,1.5,1,2,1,2,1.5,1.5,1,2,1,1,1.5,1,1,3.5,1,1,1,1,1,1.5,1,1,1,1,1,1.5,1,2.5,1,1.5,1,1.5,1.5,1.5,3,2,1,1,1
"AC006486.2",1.5,1.5,1,1.5,0.5,1.5,2,2,1.5,1,1,1.5,1,1,2,1,0.5,1,1,1,1,1,1,1.5,1,1,1,1,1.5,1,1,2,2,1.5,1,1,1,1,1.5,1,1,1,1
"AC006504.1",1,1,2,2,0.5,1.5,2,2,1.5,1,1,1.5,1,0.5,2,1,0.5,1.5,1,1,1,1,1,1.5,1,1,1,1,1.5,1,1,2,2,1.5,1,1,1,1,1.5,1,1,1,1
"AC006504.5",1,1,1,2,0.5,1.5,2,2,1.5,1,1,1.5,1,0.5,2,1,0.5,1.5,1,1,1,1,1,1.5,1,1,1,1,1.5,1,1,2,2,1.5,1,1,1,1,1.5,1,1,1,1
"AC006511.3",3,2.5,2.5,2,1,2,3.5,2,2,1,1,1.5,1,0.5,1.5,1,1,1,1.5,1,1,1,1.5,1.5,1,1,1,1,2,1,1,2,2,2,0.5,2,1,1,2,2.5,1.5,2,0.5
"AC006538.1",1,1,1,1,0.5,1,1,2,1.5,1,1,1.5,1,0.5,1,1,1,1.5,1,1,1,1,1,1.5,1,0.5,1,1,1.5,1,1,2,1,1,0.5,1,1,1,1,1,1,1,1
"AC006946.2",1,1.5,2,2,0.5,2,2.5,1.5,1.5,1,1,2,1,2,1.5,1,1,1.5,1,1,1,1,1.5,1.5,1,1,1,1,1,1,1,2.5,2,1.5,1.5,1,1,1,1,3,1.5,1,1
"AC006978.1",1,2,1.5,2,1,2,2,2,1.5,1,1,2.5,1,1.5,2.5,1,1,2,1,1,1,1,1.5,2.5,1,1,0.5,1,2,1,1,3,2,2.5,1,1,1,1,2,2,3,1.5,1
"AC007066.2",1,1.5,2,2,1,2,1.5,2.5,1.5,2,1.5,1.5,1,1,2,0.5,1,2,2,1,1,1,1,2,1,1,1,1,2,0.5,1.5,1.5,2,1.5,1,1,1,1,1,2,1,1.5,1
"AC007098.1",1,2,2,1.5,1,2,2,1,1.5,1.5,1,3.5,1,1,1.5,1,1,2,1,1,1,1,1,1.5,1,1,1,1,2,1,1.5,2,3,1.5,1,1,1.5,1,2.5,2.5,1.5,1,1
"AC007114.1",1,1,2,1.5,1,2,1.5,2,1.5,1,1,2,1,1,2,1,1,1.5,1,1,1,1,1,1.5,1,1,1,1,2,1,1,2,2,1.5,0.5,1,1.5,1,1,2,1,1,1
"AC007182.1",0.5,1,1.5,2,1.5,2,1.5,2,1.5,1,1,1.5,1,1,2.5,1,1,1.5,1.5,1,1,1,2,2,1,1,1,2,1,1,0.5,1.5,2,2,1,1,1,0.5,1.5,1.5,2,1,1
"AC007182.2",0.5,1,1.5,2,1.5,2,1.5,2,1.5,1,1,1.5,1,1,2.5,1,1,1.5,1.5,1,1,1,2,2,1,1,1,2,1,1,0.5,1.5,2,2,1,1,1,0.5,1.5,1.5,2,1,1
"AC007191.1",1.5,1.5,1,1.5,0.5,1.5,2.5,2,1.5,1,1,1.5,1,1,2,1,0.5,1,1,1,1,1,1,1.5,1,1,1,1,1.5,1,1,2,2,1.5,1,1,1,1,1.5,1,1,1,1
"AC007238.1",1,2,2,1.5,1,2,2,1,1.5,1.5,1,3.5,1,1,1.5,1,1,2,1,1,1,1,1,1.5,1,1,1,1,2,1,1.5,2,3,1.5,1,1,1.5,1,1.5,2.5,1.5,1,1
"AC007262.2",0.5,1,1.5,2,1.5,2,1.5,2,1.5,1,1,1.5,1,1,2.5,1,1,1.5,1.5,1,1,1,2,2,1,1,1,2,1,1,0.5,1.5,2,2,1,1,1,0.5,1.5,2,2,1,1
"AC007292.2",1,1,2,1,0.5,1.5,1,2,1.5,1,1,1.5,1,2,1,1,1,1.5,1,1,1,1,1,1.5,1,0.5,1,1,1.5,1,1,2,1,1,0.5,1,1,1,1,1,1,1,1
"AC007318.1",1,1.5,2,1.5,1,2,2,1,1.5,1.5,1,2.5,1,1,1.5,1,1,2,1,1,1,1,1,1.5,1,1,1,1,2,1,1.5,2,3,1.5,1,1,1.5,1,2,2.5,1.5,1,1
"AC007319.1",0.5,1.5,2,1.5,1,2,1,2,1.5,1.5,1,2,1,1,1.5,1,1,3,1,1,1,1,1,1.5,1,1,1,1,1,1.5,1,2.5,1,1.5,1,1.5,1.5,1.5,2,2,1,1,1
"AC007342.4",1.5,1.5,2,2,1,2,1.5,1.5,1.5,1,1,1,1,1,1.5,1,1,1,1,1,1,1,1.5,1.5,0.5,1,1,1,1,1,1,2.5,2,1.5,1,1,1,1,2,2,1.5,2,1
"AC007342.5",1.5,1.5,2,2,1,2,1.5,1.5,1.5,1,1,1,1,1,1.5,1,1,1,1,1,1,1,1.5,1.5,0.5,1,1,1,1,1,1,2.5,2,1.5,1,1,1,1,2,2,1.5,2,1
"AC007342.7",1.5,1.5,2,2,1,2,1.5,1.5,1.5,1,1,1,1,1,1.5,1,1,1,1,1,1,1,1.5,1.5,0.5,1,1,1,1,1,1,2.5,2,1.5,1,1,1,1,2,2,1.5,2,1
"AC007342.8",1.5,1.5,2,2,1,2,1.5,1.5,1.5,1,1,1,1,1,1.5,1,1,1,1,1,1,1,1.5,1.5,0.5,1,1,1,1,1,1,2.5,2,1.5,1,1,1,1,2,2,1.5,2,1
"AC007342.9",1.5,1.5,2,2,1,2,1.5,1.5,1.5,1,1,1,1,1,1.5,1,1,1,1,1,1,1,1.5,1.5,0.5,1,1,1,1,1,1,2.5,2,1.5,1,1,1,1,2,2,1.5,2,1
"AC007383.1",0.5,1.5,0.5,1.5,1,2,1,2,1.5,1.5,1,1.5,1,1,1.5,1,1,1.5,1,1,1,1,1,1.5,1,1,1,1,1,0.5,1,2.5,1,1,1,1.5,1.5,1.5,1,2,1,1,1
"AC007389.2",1,1.5,2,1.5,1,2,2,1,1.5,1.5,1,2.5,1,1,1.5,1,1,2,1,1,1,1,1,1.5,1,1,1,1,2,1,1.5,2,3,1.5,1,1,1.5,1,2,2.5,1.5,1,1
"AC007390.1",1,2,2,1.5,1,2,2,1,1.5,1.5,1,2,1,1,1.5,1,1,2,0.5,1,1,1.5,1,1.5,1,1,1,1,2,1,1,2,2,1.5,1,1,1.5,1,1.5,2.5,1.5,1,1
"AC007405.3",0.5,1.5,2,1.5,1,2,1,2,1.5,1.5,1,1.5,1,1,1.5,1,1,3.5,1,1,1,1,1,1.5,1,1,1,1,2,1.5,1,2.5,2,1.5,1,1.5,1.5,1.5,2,2.5,2,1,1
"AC007485.2",1,1,2,1.5,1,2,1.5,2,1.5,1,1,2,1,1,2,1,1,1.5,1,1,1,1,1,1.5,1,1,1,1,2,1,1,2,2,1.5,0.5,1,2,1,1,2,1,1,1
"AC007541.1",1,1.5,1.5,2,1,2,1.5,2,2,1,1,1.5,1,1,1,1,1.5,1.5,1,1,1,1,1.5,1.5,1,1,1,1,2,1,1,2,1.5,2,1,1,1,0.5,1,1.5,1,1,1
