,Unnamed: 0,status,gene,N,n_aneup,cna,mean_b_scaling,sd_b_scaling,mean_b_deviation,sd_b_deviation,z_comp,p_value,mean_phi,Rhat_b_deviation,ess_b_deviation,covar_levels,reason,label_nb,adj_p,aneup_frac,comp_score,signed_comp,shrunk_comp
10,10,ok,CFTR,45.0,31.0,all,0.282109052871,0.1527404796341021,-0.164266520227135,0.1743106641344186,-0.9423779149878166,0.345999190138794,0.7056911806299999,1.00226,1973.22,['ALL'],,DCG,0.8046879863471272,0.6888888888888889,-0.5822802159498551,-0.5822802159498551,-0.3808117327973632
11,11,ok,ANKIB1,45.0,29.0,all,0.34794914286175,0.1009109071119418,-0.0151663342814347,0.1418910962058562,-0.1068871457545959,0.9148785109680412,6.425838450925,1.00042,1678.55,['ALL'],,DSG,0.9964127282697121,0.6444444444444445,-0.04358779032101456,-0.04358779032101456,-0.003710257615737562
12,12,ok,CYP51A1,45.0,29.0,all,0.640925737745,0.1468753183922558,-0.2684808089698075,0.1646613961625401,-1.6305024445728946,0.1029953489668729,3.019162605675,1.00091,2051.73,['ALL'],,DCG,0.605108316277415,0.6444444444444445,-0.41889534646309656,-0.41889534646309656,-0.3757510740735308
13,13,ok,KRIT1,45.0,29.0,all,0.6805991302075001,0.0966484116950203,-0.2960859649786208,0.1385790889244842,-2.1365847277287746,0.0326317828821272,10.184044413675002,1.0009,1407.44,['ALL'],,DCG,0.5364839943054287,0.6444444444444445,-0.4350372368068565,-0.4350372368068565,-0.42084119614973464
14,14,ok,RAD52,45.0,26.0,all,0.885676456155,0.1147914287106461,-0.2679344402712199,0.1506233852563475,-1.7788369303692084,0.0752665006224351,6.658793219550001,1.00067,1863.84,['ALL'],,DSG,0.5877568202406573,0.5777777777777777,-0.3025195469623383,-0.3025195469623383,-0.27974995929259866
15,15,ok,BAD,45.0,23.0,all,0.7585345956650001,0.1332696748850798,-0.22190029365222,0.1771223111594144,-1.2528082554913382,0.210275496511098,4.800371454925,1.00378,1879.14,['ALL'],,DSG,0.6968315363333162,0.5111111111111111,-0.29253813197232237,-0.29253813197232237,-0.23102453102341317
16,16,ok,LAP3,45.0,21.0,all,0.2770203072315,0.0809692759365215,-0.2159718775781673,0.1454414368199049,-1.4849404839529865,0.1375595905889921,7.2868351817,1.00162,1635.65,['ALL'],,DCG,0.6295639873830947,0.4666666666666667,-0.7796247132080616,-0.7796247132080616,-0.6723798568461002
17,17,ok,CD99,45.0,21.0,all,0.4571087254054999,0.1334815466657605,-0.0812224284830402,0.1526965034683333,-0.5319206834351936,0.5947809312770844,4.1922537446999995,1.00142,2314.66,['ALL'],,DSG,0.9372292424188058,0.4666666666666667,-0.1776873290068747,-0.1776873290068747,-0.07200229398402808
18,18,ok,HS3ST1,45.0,22.0,all,0.4899855963725,0.1629715328259987,-0.0349376407159199,0.1820871178657994,-0.1918732150050806,0.8478415189251205,2.0703658685100006,1.00156,2008.12,['ALL'],,DSG,0.9886372198404718,0.4888888888888889,-0.07130340355833517,-0.07130340355833517,-0.010849417580905438
19,19,ok,AOC1,45.0,31.0,all,0.3206381258605,0.2053560136787329,-0.135137798251107,0.1708113339100905,-0.7911524086700189,0.4288550593663318,0.4779189753674999,1.00038,2333.15,['ALL'],,DSG,0.8584412403633417,0.6888888888888889,-0.42146515760855396,-0.42146515760855396,-0.24071769242149715
