,status,gene,N,n_aneup,cna,mean_b_scaling,sd_b_scaling,mean_b_deviation,sd_b_deviation,z_comp,p_value,mean_phi,Rhat_b_deviation,ess_b_deviation,covar_levels,reason
618,ok,GNAS,45.0,27.0,all,0.6886388213475,0.10378578016530389,-0.155331159831155,0.14136996976743668,-1.0987564055271812,0.27187433205425937,9.473543996775,1.0023,1480.01,['ALL'],
619,ok,DNM1L,45.0,29.0,all,0.5856343148900001,0.09707695385496057,-0.038250709863645246,0.12629940368395676,-0.302857406669641,0.7619985323274774,7.4131588508,1.00147,1591.58,['ALL'],
620,ok,PTHLH,45.0,31.0,all,0.7309153498450001,0.20142833787599967,0.047705368858409994,0.17896541359112217,0.2665619456919272,0.789806458644204,0.7098518524974999,0.999889,2505.65,['ALL'],
621,ok,PHACTR3,45.0,27.0,all,0.9603593835125,0.33808553644341305,-0.15226938219717073,0.2183749172790672,-0.6972842123739953,0.48562494623795605,0.3495390743575,1.00075,2380.84,['ALL'],
622,ok,ERGIC2,45.0,30.0,all,0.5465296707674999,0.10759943652562395,-0.08044694667522623,0.12646964110897516,-0.6360969001715397,0.524713265824077,7.31056379305,1.00034,1834.75,['ALL'],
623,ok,TFAP2C,45.0,27.0,all,0.8463199476,0.17805747463346364,-0.08709993056199605,0.1843809442616249,-0.47239117312690815,0.6366476036162534,2.0648982125749997,1.00053,1979.98,['ALL'],
624,ok,AURKA,45.0,27.0,all,0.5873769558512499,0.1821840560648767,-0.000738565632187501,0.18606246830262738,-0.0039694498247020826,0.9968328455872191,1.924054520535,1.00095,2027.99,['ALL'],
625,ok,CASS4,45.0,27.0,all,0.1776800380555,0.07608147346437219,-0.2623645994677725,0.1092896207275212,-2.400636013934891,0.016366607114734588,3.4722356189,1.00353,1067.78,['ALL'],
626,ok,AAMDC,45.0,26.0,all,0.6026720921925001,0.11966347589201236,-0.2362596890918025,0.16451283878559428,-1.4361170279221442,0.15096904353557394,5.368483471675,1.00142,1867.79,['ALL'],
627,ok,METTL2A,45.0,31.0,all,0.7237628186525,0.11609337418074488,-0.24859434334789252,0.15248743049984256,-1.6302612125669544,0.10304630154444272,6.961909531450001,1.00173,1538.41,['ALL'],
628,ok,EDEM2,45.0,28.0,all,0.6235391681325,0.12052347382200314,-0.36154314163124,0.16531505052492573,-2.186994713930947,0.028742909889032164,5.662445679125001,1.00334,1540.34,['ALL'],
629,ok,DNMT3B,45.0,28.0,all,0.56647639756075,0.16692584990352544,0.02013439053051125,0.19115558434271743,0.10532985787332727,0.9161140715887464,1.428262820765,1.00253,1665.3,['ALL'],
