,sample_size,n_genes,cn_signal,replicate,tag,method,TP,FP,FN,TN,Precision,Recall,F1,Accuracy,AUC,MCC,n_pos,n_neg,FP_DSG,FP_NEUTRAL
146,20,5000,weak,3,S20_G5000_CNweak_R3,PyDESeq2,1059,278,442,2713,0.7920718025430067,0.7055296469020653,0.7463002114164905,0.8397150489759573,0.8062920718629351,0.6319735737514062,1501,2991,187,91
147,20,5000,weak,3,S20_G5000_CNweak_R3,DeConveil,1131,234,370,2757,0.8285714285714286,0.7534976682211859,0.7892533147243544,0.8655387355298308,0.8376314820544244,0.6925341867964984,1501,2991,42,192
148,20,5000,weak,4,S20_G5000_CNweak_R4,PyDESeq2,1067,289,433,2705,0.7868731563421829,0.7113333333333334,0.7471988795518207,0.8393413440142412,0.8074034736138944,0.6316172456550209,1500,2994,205,84
149,20,5000,weak,4,S20_G5000_CNweak_R4,DeConveil,1120,229,380,2765,0.8302446256486287,0.7466666666666667,0.7862407862407862,0.8644859813084113,0.8350901803607214,0.6895200905269397,1500,2994,40,189
150,20,5000,weak,5,S20_G5000_CNweak_R5,PyDESeq2,1064,302,440,2685,0.7789165446559297,0.7074468085106383,0.7414634146341463,0.8347806724560232,0.8031710105492597,0.62202642659543,1504,2987,204,98
151,20,5000,weak,5,S20_G5000_CNweak_R5,DeConveil,1119,209,385,2778,0.8426204819277109,0.7440159574468085,0.7902542372881356,0.8677354709418837,0.8370230440062968,0.6970797848216478,1504,2987,28,181
152,20,5000,weak,6,S20_G5000_CNweak_R6,PyDESeq2,1048,296,453,2691,0.7797619047619048,0.698201199200533,0.7367311072056238,0.8331105169340464,0.7995525580870425,0.6171206553624388,1501,2987,205,91
153,20,5000,weak,6,S20_G5000_CNweak_R6,DeConveil,1150,218,351,2769,0.8406432748538012,0.7661558960692871,0.801673056814221,0.8732174688057041,0.8465864850282827,0.7104429860707496,1501,2987,36,182
154,20,5000,weak,7,S20_G5000_CNweak_R7,PyDESeq2,1066,283,438,2700,0.7902149740548554,0.7087765957446809,0.7472835611636873,0.8393135725429017,0.8069528302223237,0.6320038706787341,1504,2983,199,84
155,20,5000,weak,7,S20_G5000_CNweak_R7,DeConveil,1159,210,345,2773,0.8466033601168736,0.7706117021276596,0.8068221371388792,0.8763093380878092,0.8501063874366088,0.7178617200347553,1504,2983,39,171
156,20,5000,weak,8,S20_G5000_CNweak_R8,PyDESeq2,1065,283,438,2705,0.7900593471810089,0.7085828343313373,0.7471062784987723,0.839456691160098,0.8069353261348788,0.6320181080830355,1503,2988,195,88
157,20,5000,weak,8,S20_G5000_CNweak_R8,DeConveil,1132,225,371,2763,0.8341930729550479,0.7531603459747173,0.7916083916083916,0.8672901358272099,0.83892957057772,0.6965781122270477,1503,2988,28,197
158,20,5000,weak,9,S20_G5000_CNweak_R9,PyDESeq2,1075,302,425,2686,0.7806826434277415,0.7166666666666667,0.7473062217587765,0.8380124777183601,0.8077978580990629,0.6296722286773049,1500,2988,210,92
159,20,5000,weak,9,S20_G5000_CNweak_R9,DeConveil,1158,251,342,2737,0.8218594748048261,0.772,0.7961498796837401,0.8678698752228164,0.8439986613119143,0.6992980758372511,1500,2988,41,210
160,40,5000,strong,1,S40_G5000_CNstrong_R1,PyDESeq2,1230,450,269,2542,0.7321428571428571,0.8205470313542361,0.7738282478766908,0.8399020262747717,0.8350729809177597,0.6530793507296326,1499,2992,367,83
161,40,5000,strong,1,S40_G5000_CNstrong_R1,DeConveil,1261,157,238,2835,0.889280677009873,0.8412274849899933,0.8645869043537882,0.9120463148519261,0.8943771114789539,0.8002098868465553,1499,2992,31,126
162,40,5000,strong,10,S40_G5000_CNstrong_R10,PyDESeq2,1260,438,244,2554,0.7420494699646644,0.8377659574468085,0.7870081199250468,0.8483096085409253,0.845687791557629,0.6728620779640645,1504,2992,362,76
163,40,5000,strong,10,S40_G5000_CNstrong_R10,DeConveil,1294,150,210,2842,0.8961218836565097,0.8603723404255319,0.8778833107191316,0.9199288256227758,0.9051193252929798,0.8187320806639938,1504,2992,31,119
164,40,5000,strong,11,S40_G5000_CNstrong_R11,PyDESeq2,1276,424,224,2567,0.7505882352941177,0.8506666666666667,0.7975,0.8557114228456913,0.8544540287529254,0.6893493488802516,1500,2991,353,71
165,40,5000,strong,11,S40_G5000_CNstrong_R11,DeConveil,1299,140,201,2851,0.9027102154273802,0.866,0.8839741408642395,0.9240703629481185,0.909596456034771,0.827975260406872,1500,2991,25,115
166,40,5000,strong,12,S40_G5000_CNstrong_R12,PyDESeq2,1231,446,271,2540,0.7340488968395945,0.8195739014647138,0.7744573765335011,0.8402406417112299,0.8351051021054311,0.6537232780411936,1502,2986,353,93
167,40,5000,strong,12,S40_G5000_CNstrong_R12,DeConveil,1272,164,230,2822,0.8857938718662952,0.8468708388814914,0.8658951667801226,0.9122103386809269,0.8959739325016969,0.8011373430381928,1502,2986,32,132
168,40,5000,strong,13,S40_G5000_CNstrong_R13,PyDESeq2,1234,425,266,2558,0.7438215792646172,0.8226666666666667,0.7812598923710035,0.8458621458844524,0.8400963236115768,0.6647351590000341,1500,2983,337,88
169,40,5000,strong,13,S40_G5000_CNstrong_R13,DeConveil,1278,164,222,2819,0.8862690707350902,0.852,0.8687967369136642,0.9138969440107071,0.898510895072075,0.8051033076457389,1500,2983,34,130
170,40,5000,strong,14,S40_G5000_CNstrong_R14,PyDESeq2,1253,438,245,2552,0.7409816676522768,0.8364485981308412,0.7858262778300408,0.8478163992869875,0.84498015190823,0.6714250939568662,1498,2990,349,89
171,40,5000,strong,14,S40_G5000_CNstrong_R14,DeConveil,1308,158,190,2832,0.8922237380627558,0.8731642189586115,0.8825910931174089,0.9224598930481284,0.9101607047970314,0.8248240814342526,1498,2990,30,128
