,padjScreen,p_naive,p_aware
AC012640.4,0.0,0.0,0.0
AC012676.1,1.0,1.0,1.0
AC012676.5,1.0,1.0,1.0
AC013287.1,0.0,0.0,0.0
AC013403.2,1.0,1.0,1.0
AC013460.1,1.0,1.0,1.0
AC013470.2,1.0,1.0,1.0
AC013486.1,1.0,1.0,1.0
AC013652.1,1.0,1.0,1.0
AC015522.1,1.0,1.0,1.0
AC015574.1,1.0,1.0,1.0
AC015660.1,1.0,1.0,1.0
AC015712.1,0.0,0.0,0.0
AC015712.2,1.0,1.0,1.0
AC015712.6,0.0,0.0,0.0
AC015726.1,0.0,0.0,0.0
AC015802.3,1.0,1.0,1.0
AC015802.6,1.0,1.0,1.0
AC015813.1,0.0,0.0,0.0
AC015813.5,1.0,1.0,1.0
AC015813.6,1.0,1.0,1.0
AC015819.1,1.0,1.0,1.0
AC015845.2,1.0,1.0,1.0
AC015849.3,1.0,1.0,1.0
AC015871.3,1.0,1.0,1.0
AC015909.5,1.0,1.0,1.0
AC015910.1,1.0,1.0,1.0
AC015922.2,1.0,1.0,1.0
AC015922.3,1.0,1.0,1.0
AC016027.1,0.0,0.0,0.0
AC016065.1,1.0,1.0,1.0
AC016240.1,1.0,1.0,1.0
AC016355.1,1.0,1.0,1.0
AC016383.2,1.0,1.0,1.0
AC016383.3,1.0,1.0,1.0
AC016394.1,0.0,0.0,0.0
AC016394.2,0.0,0.0,0.0
AC016405.3,1.0,1.0,1.0
AC016526.1,1.0,1.0,1.0
AC016526.2,1.0,1.0,1.0
AC016526.3,1.0,1.0,1.0
AC016582.1,0.0,0.0,0.0
AC016582.2,1.0,1.0,1.0
AC016582.3,1.0,1.0,1.0
AC016583.1,1.0,1.0,1.0
AC016583.2,0.0,0.0,0.0
AC016590.3,1.0,1.0,1.0
AC016590.4,1.0,1.0,1.0
AC016596.2,1.0,1.0,1.0
AC016705.2,1.0,1.0,1.0
AC016727.1,1.0,1.0,1.0
AC016738.1,1.0,1.0,1.0
AC016739.1,1.0,1.0,1.0
AC016747.1,1.0,1.0,1.0
AC016821.1,0.0,0.0,0.0
AC016831.1,1.0,0.0,1.0
AC016831.6,1.0,0.0,1.0
AC016866.1,1.0,1.0,1.0
AC016876.1,0.0,0.0,0.0
AC016924.1,1.0,1.0,1.0
AC016957.2,1.0,1.0,1.0
AC017000.1,1.0,1.0,1.0
AC017048.3,1.0,1.0,1.0
AC017071.1,0.0,0.0,0.0
AC017100.1,1.0,1.0,1.0
AC017104.1,1.0,1.0,1.0
AC017104.3,1.0,1.0,1.0
AC018413.1,1.0,1.0,1.0
AC018462.1,0.0,0.0,0.0
AC018467.1,1.0,1.0,0.0
AC018521.5,1.0,1.0,1.0
AC018521.6,1.0,1.0,1.0
AC018529.2,0.0,0.0,0.0
AC018541.1,1.0,1.0,1.0
AC018553.1,1.0,1.0,1.0
AC018553.2,1.0,1.0,1.0
AC018557.3,1.0,1.0,1.0
AC018628.1,1.0,0.0,1.0
AC018629.1,1.0,1.0,1.0
AC018638.1,1.0,1.0,1.0
AC018638.2,1.0,1.0,1.0
AC018638.4,1.0,1.0,1.0
AC018638.5,1.0,1.0,1.0
AC018638.6,1.0,0.0,1.0
AC018638.7,0.0,0.0,0.0
AC018645.3,1.0,1.0,0.0
AC018647.1,1.0,1.0,1.0
AC018647.2,1.0,1.0,1.0
AC018653.3,0.0,0.0,0.0
AC018665.1,0.0,0.0,0.0
AC018690.1,1.0,1.0,0.0
AC018730.1,0.0,0.0,0.0
AC018752.1,1.0,1.0,1.0
AC018755.3,1.0,1.0,1.0
AC018755.4,1.0,1.0,1.0
AC018809.2,1.0,1.0,0.0
AC018816.1,1.0,1.0,1.0
AC018865.2,1.0,1.0,1.0
AC018904.1,1.0,1.0,1.0
AC018926.2,0.0,0.0,0.0
AC018926.3,0.0,0.0,0.0
AC019069.1,1.0,1.0,1.0
AC019080.1,1.0,1.0,1.0
