"","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40","sample41","sample42","sample43","sample44","sample45","sample46","sample47","sample48","sample49","sample50","sample51","sample52","sample53","sample54","sample55","sample56","sample57","sample58","sample59","sample60","sample61","sample62","sample63","sample64"
"SENP5",1.5,0.5,1,1,1,1.5,1.5,1,0.5,1,1,1,1,1,1,1,2.5,1,1,1.5,1,1,1,1.5,1.5,2,1,1,1,1,1,1
"SENP6",1,0.5,1,1.5,1.5,2,1,1,1,1,1,1,1,1.5,1,1,2,1,1,1,1,1,1,1.5,1.5,1.5,1,1,1.5,1.5,1,1
"SENP7",1,0.5,1,1.5,1.5,1,1.5,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1.5,1.5,1,1,1,1,1,1
"SENP8",1.5,0.5,1,1,1.5,1.5,1,1,1,0.5,1.5,1,1,0.5,1,1,1.5,1,1,1,1,1,1,2,1.5,1.5,1,1,2,3.5,1,1
"SEPHS1",1.5,0.5,1,1,1,2,1,1,1,1,2.5,1,1,1.5,1,1,1,1,1,1,1.5,0.5,1,2,2,1.5,1,1.5,2,1.5,1,1
"SEPHS1P6",1.5,1,1,1,2,2,1,0.5,1,1,1.5,0.5,1,1.5,1,1,1.5,1,1,1,1,1,1,1.5,1.5,1,1,1,1.5,1.5,1,1
"SEPSECS",1,0.5,1,1,1.5,1,1,1,0.5,0.5,1.5,1,1,1,1,1,1.5,1,1,1,0.5,1,0.5,1.5,2,1.5,1,1,1,0.5,1,1.5
"SEPSECS-AS1",1,0.5,1,1,1.5,1,1,1,0.5,0.5,1.5,1,1,1,1,1,1.5,1,1,1,0.5,1,0.5,1.5,2,1.5,1,1,1,0.5,1,1.5
"SEPTIN10",1.5,1,1,1,2,2,1,1,1,1,1.5,1,1,1.5,1,1,1.5,1,1,1,1,1,1.5,1.5,1.5,2.5,1,1,1.5,1.5,1,1
"SEPTIN10P1",2,0.5,1,2,2.5,3,1.5,1,1,1,2,1,1,1.5,1,1,1,1,1.5,1,1,1,1.5,2.5,1.5,1.5,1,1.5,1,1,2,1.5
"SEPTIN2",1.5,1,1,1,2,2,1,1,1,1,1,0.5,1,1.5,1,1,1,1,1,1,1,1,1,1.5,1.5,1.5,1,1,1.5,1.5,1,1
"SEPTIN3",1,0.5,1,0.5,1.5,1,1,1,1,1,1,0.5,1,1.5,1,1,1,1,1,1,1,0.5,0.5,1,1.5,0.5,1,1,1,1.5,1,1
"SEPTIN4",1,0.5,1,1,1.5,1.5,1,1,1,2,1.5,1.5,1,1,0.5,1,1.5,1,1,1,1.5,1,1,1,1.5,1,1,1,1,2,1,1.5
"SEPTIN7",1.5,1,1,1.5,2,2.5,1,1,1,1.5,1.5,1,1,1.5,1,1,1.5,1,1,1,1,1,1,2,2,1.5,1,1,1.5,2,1,1
"SEPTIN7-DT",1.5,1,1,1.5,2,2.5,1,1,1,1.5,1.5,1,1,1.5,1,1,1.5,1,1,1,1,1,1,2,2,1.5,1,1,1.5,2,1,1
"SEPTIN7P2",1.5,1,1,1.5,2,2.5,1,1,1,1.5,1.5,1,1,1.5,1,1,1.5,1,1,1,1,1,1,2,2,3.5,1,1,1.5,2,1,1
